latitude,ratio,target_cost_ratio_mean,actual_cost_ratio_mean,actual_cost_ratio_min,actual_cost_ratio_max,wmape_mean,wmape_std,n_repeats,wmape_ci95_low,wmape_ci95_high,cost_basis
30,0.34999999999999998,0.45256525538489339,0.45373990569429457,0.45373990569429462,0.45373990569429462,0.044968109903261583,0.0011760479328350303,25,0.044482661175864815,0.04545355863065835,matched_sf_m3_achieved_cost
30,0.5,0.57892065226075817,0.58007947537265969,0.58007947537265969,0.58007947537265969,0.034603215501037267,0.00082113268107028299,25,0.034264268589163926,0.034942162412910607,matched_sf_m3_achieved_cost
45,0.01,0.01,0.011213494565668298,0.011213494565668298,0.011213494565668298,0.36133535173507497,0.019093864129098668,25,0.35345379199268145,0.36921691147746849,direct_random_fraction
45,0.02,0.02,0.021120260516054094,0.021120260516054094,0.021120260516054094,0.27459403459832471,0.010533007219463229,25,0.27024622290835115,0.27894184628829827,direct_random_fraction
45,0.050000000000000003,0.050000000000000003,0.051116250449404023,0.051116250449404023,0.051116250449404023,0.18467449200339903,0.006323783614515608,25,0.1820641624221899,0.18728482158460816,direct_random_fraction
45,0.10000000000000001,0.10000000000000001,0.10105281534334468,0.10105281534334468,0.10105281534334468,0.13258034811777727,0.0042448718811710848,25,0.13082815112380844,0.13433254511174611,direct_random_fraction
45,0.01,0.16779767327368758,0.16836575956193478,0.16836575956193478,0.16836575956193478,0.099980990559493707,0.0030284422797970429,25,0.098730911026444393,0.10123107009254302,matched_sf_m3_achieved_cost
45,0.02,0.17547596078757605,0.17635564451450539,0.17635564451450539,0.17635564451450539,0.09752690935374364,0.0027885949899010506,25,0.096375833916019671,0.09867798479146761,matched_sf_m3_achieved_cost
45,0.050000000000000003,0.1999830977657388,0.20110916369368625,0.20110916369368623,0.20110916369368623,0.090115802015404187,0.0023370741841047412,25,0.089151105206005832,0.091080498824802542,matched_sf_m3_achieved_cost
45,0.10000000000000001,0.24209203063112603,0.24320794961143841,0.24320794961143838,0.24320794961143838,0.079992269426148982,0.0018127042168092024,25,0.079244021901003076,0.080740516951294888,matched_sf_m3_achieved_cost
45,0.20000000000000001,0.32638368693608905,0.32753170026825962,0.32753170026825962,0.32753170026825962,0.064808007164936066,0.0015497963551002888,25,0.064168282671314497,0.065447731658557634,matched_sf_m3_achieved_cost
45,0.34999999999999998,0.45256525538489339,0.45373990569429457,0.45373990569429462,0.45373990569429462,0.049793277300560511,0.001210651641960275,25,0.049293544864065626,0.050293009737055396,matched_sf_m3_achieved_cost
45,0.5,0.57892065226075817,0.58007947537265969,0.58007947537265969,0.58007947537265969,0.038633518782406534,0.00077580296761114835,25,0.038313283056614654,0.038953754508198414,matched_sf_m3_achieved_cost
60,0.01,0.01,0.011213494565668298,0.011213494565668298,0.011213494565668298,0.4027701679620464,0.025265413188616043,25,0.39234111797426197,0.41319921794983083,direct_random_fraction
60,0.02,0.02,0.021120260516054094,0.021120260516054094,0.021120260516054094,0.30970443412836479,0.017159827682781226,25,0.30262120539390941,0.31678766286282017,direct_random_fraction
60,0.050000000000000003,0.050000000000000003,0.051116250449404023,0.051116250449404023,0.051116250449404023,0.20802688776354125,0.0081647025192759133,25,0.2046566642064104,0.2113971113206721,direct_random_fraction
60,0.10000000000000001,0.10000000000000001,0.10105281534334468,0.10105281534334468,0.10105281534334468,0.14848043699358213,0.0047465844334171952,25,0.14652114323662699,0.15043973075053726,direct_random_fraction
60,0.01,0.16779767327368758,0.16836575956193478,0.16836575956193478,0.16836575956193478,0.11148597368939711,0.0028309698390474461,25,0.11031740677363265,0.11265454060516157,matched_sf_m3_achieved_cost
60,0.02,0.17547596078757605,0.17635564451450539,0.17635564451450539,0.17635564451450539,0.10861771487659694,0.002882603341819999,25,0.10742783469841165,0.10980759505478223,matched_sf_m3_achieved_cost
60,0.050000000000000003,0.1999830977657388,0.20110916369368625,0.20110916369368623,0.20110916369368623,0.10001049369322219,0.0023718673161142916,25,0.099031434984802033,0.10098955240164235,matched_sf_m3_achieved_cost
60,0.10000000000000001,0.24209203063112603,0.24320794961143841,0.24320794961143838,0.24320794961143838,0.088649714579534772,0.0015202764922969897,25,0.088022175286389046,0.089277253872680498,matched_sf_m3_achieved_cost
60,0.20000000000000001,0.32638368693608905,0.32753170026825962,0.32753170026825962,0.32753170026825962,0.072035859489327697,0.0013569584084634294,25,0.071475734587844356,0.072595984390811039,matched_sf_m3_achieved_cost
60,0.34999999999999998,0.45256525538489339,0.45373990569429457,0.45373990569429462,0.45373990569429462,0.055335730065863453,0.0013612224294647156,25,0.054773845063017849,0.055897615068709057,matched_sf_m3_achieved_cost
60,0.5,0.57892065226075817,0.58007947537265969,0.58007947537265969,0.58007947537265969,0.043456767739626916,0.0012387943723306078,25,0.042945418554985709,0.043968116924268122,matched_sf_m3_achieved_cost
