row,column,row_label,column_label,case_id,wmape,annotation,normalized_color,red,green,blue,alpha,text_color,highlight_max
3,0,45,Red Hook,nyc_bk_red_hook,0.011447570520782066,1.1%,0.12319696763823454,0.2400615148019993,0.58239138792772016,0.72087658592848902,1,black,False
3,1,45,Long Island City,nyc_qn_long_island_city,0.014759378123851299,1.5%,0.21106747984418858,0.43183391003460225,0.77324106113033453,0.64659746251441752,1,black,False
3,2,45,Co-op City,nyc_bx_coop_city,0.017303600371545953,1.7%,0.2785720389446405,0.61222606689734727,0.84382929642445226,0.64398308342945021,1,black,False
3,3,45,Jackson Heights,nyc_qn_jackson_heights,0.017665907478855509,1.8%,0.28818494975070424,0.63344867358708201,0.85213379469434836,0.64367550941945406,1,black,False
3,4,45,Park Slope,nyc_bk_park_slope,0.021663801899059931,2.2%,0.394259055662872,0.88381391772395257,0.95340253748558257,0.59976931949250278,1,black,False
3,5,45,Bayside,nyc_qn_bayside,0.033476645368978486,3.3%,0.63250406672530146,0.99484813533256444,0.8169165705497885,0.49342560553633213,1,black,False
3,6,45,Riverdale,nyc_bx_riverdale,0.031664375605265645,3.2%,0.60182595287975915,0.9959246443675509,0.87074202229911568,0.53863898500576701,1,black,False
3,7,45,Financial District,nyc_mn_fidi,0.041483574589859497,4.1%,0.76804541443732388,0.96793540945790091,0.50742022299115752,0.29965397923875448,1,black,False
3,8,45,Greenridge,nyc_si_greenridge,0.044522381203547214,4.5%,0.81948635171716155,0.9330257593233372,0.3913110342176086,0.27197231833910035,1,black,False
3,9,45,Midtown,nyc_mn_midtown,0.044033075534668328,4.4%,0.81120338230736333,0.942560553633218,0.40576701268742787,0.26828143021914647,1,black,False
3,10,45,Latitude mean,,0.027802031069641391,2.8%,0.53644416052902388,0.99853902345251822,0.95470972702806611,0.67304882737408689,1,black,False
4,0,60,Red Hook,nyc_bk_red_hook,0.015890549598988821,1.6%,0.24108027914478278,0.50611303344867364,0.80230680507497121,0.64552095347943106,1,black,False
4,1,60,Long Island City,nyc_qn_long_island_city,0.019363584047082976,1.9%,0.3332285414955703,0.74771241830065371,0.89803921568627465,0.62745098039215685,1,black,False
4,2,60,Co-op City,nyc_bx_coop_city,0.022554242130182083,2.3%,0.41788465490510435,0.91733948481353333,0.96693579392541329,0.6200692041522492,1,black,False
4,3,60,Jackson Heights,nyc_qn_jackson_heights,0.024064775175987936,2.4%,0.45796286244227252,0.9596309111880047,0.98385236447520186,0.68604382929642449,1,black,False
4,4,60,Park Slope,nyc_bk_park_slope,0.028218548223553814,2.8%,0.5434949655041994,0.99823144944252207,0.94517493271818531,0.65705497885428676,1,black,False
4,5,60,Bayside,nyc_qn_bayside,0.042570335581516905,4.3%,0.78644211127160546,0.96101499423298731,0.45743944636678202,0.27658592848904268,1,black,False
4,6,60,Riverdale,nyc_bx_riverdale,0.035740175677796991,3.6%,0.6708211218884933,0.99331026528258359,0.74002306805074969,0.42883506343713951,1,black,False
4,7,60,Financial District,nyc_mn_fidi,0.04575653140250819,4.6%,0.84037805397050369,0.9044213763936948,0.34794309880815066,0.28304498269896194,1,white,False
4,8,60,Greenridge,nyc_si_greenridge,0.055185990719033053,5.5%,1,0.61960784313725492,0.0039215686274509803,0.25882352941176473,1,white,True
4,9,60,Midtown,nyc_mn_midtown,0.049318461514495045,4.9%,0.90067442908715689,0.83106497500961174,0.23844675124951942,0.30880430603613995,1,white,False
4,10,60,Latitude mean,,0.033866319407114584,3.4%,0.63910047126945713,0.9945405613225683,0.80153787004998078,0.48050749711649365,1,black,False
5,0,Case mean,Red Hook,nyc_bk_red_hook,0.01000890104476386,1.0%,0.085025479766887763,0.22652825836216836,0.49388696655132647,0.72249134948096894,1,white,False
5,1,Case mean,Long Island City,nyc_qn_long_island_city,0.013133272761284962,1.3%,0.16792285061598955,0.32802768166089979,0.68050749711649372,0.68027681660899653,1,black,False
5,2,Case mean,Co-op City,nyc_bx_coop_city,0.015645081933127379,1.6%,0.23456741000671591,0.49550173010380638,0.79815455594002316,0.64567474048442908,1,black,False
5,3,Case mean,Jackson Heights,nyc_qn_jackson_heights,0.016414420001996416,1.6%,0.25497986697082553,0.54855824682814314,0.81891580161476363,0.64490580545943876,1,black,False
5,4,Case mean,Park Slope,nyc_bk_park_slope,0.019154785286942862,1.9%,0.32768858984364568,0.72956555171088056,0.89065743944636688,0.63114186851211074,1,black,False
5,5,Case mean,Bayside,nyc_qn_bayside,0.029916981299643475,3.0%,0.57224605119276983,0.99715494040753561,0.91180315263360245,0.60107650903498655,1,black,False
5,6,Case mean,Riverdale,nyc_bx_riverdale,0.030654550542271664,3.1%,0.58473162792498934,0.99669357939254133,0.8975009611687812,0.57708573625528636,1,black,False
5,7,Case mean,Financial District,nyc_mn_fidi,0.039022311055537752,3.9%,0.72638113000148385,0.9831603229527105,0.61737793156478282,0.35040369088811996,1,black,False
5,8,Case mean,Greenridge,nyc_si_greenridge,0.040245023891486729,4.0%,0.74707922050253595,0.97485582468281429,0.55740099961553247,0.322722029988466,1,black,False
5,9,Case mean,Midtown,nyc_mn_midtown,0.042296067991312622,4.2%,0.78179930779670137,0.96239907727797003,0.46743560169165704,0.281199538638985,1,black,False
5,10,Case mean,Latitude mean,,0.025649139580836776,2.6%,0.5,0.99992310649750094,0.99761630142252977,0.74502114571318723,1,black,False
