latitude,cell_hash,method,feature,n_exploratory_periods,scope,algorithm,ratio,kmeans_threads,segment,level,n_cases,error_numerator,true_signal,cost_ratio_mean,wmape,family,color,line_style,marker,selected
15,a1c635bdc08218d7,F1 m=1 r=20%,F1,1,S2,kmeans,0.20000000000000001,4,all,building,10,494305.712693576,5601164.7013833458,0.24218164780310017,0.0882505227120879,SF,#F58518,solid,circle,False
15,048c516146700bb1,F1 m=1 r=35%,F1,1,S2,kmeans,0.34999999999999998,4,all,building,10,364444.32513298566,5601164.7013833458,0.38413591230800509,0.065065811230827969,SF,#F58518,solid,circle,False
15,4ba04a2546e1f79d,F1 m=1 r=50%,F1,1,S2,kmeans,0.5,4,all,building,10,274500.59815550334,5601164.7013833458,0.52628573379335308,0.049007771202962243,SF,#F58518,solid,circle,False
15,2ce57ccc3fc59a00,F3 m=2 r=1%,F3,2,S2,kmeans,0.01,4,all,building,10,732402.38614123978,5601164.7013833458,0.11578502785329306,0.13075894482452105,MF+SF,#54A24B,dashed,square,False
15,a9d08fba3f83d52e,F3 m=2 r=2%,F3,2,S2,kmeans,0.02,4,all,building,10,578875.06844489765,5601164.7013833458,0.1239432083367995,0.10334905315352183,MF+SF,#54A24B,dashed,square,False
15,e4f15065e9975e62,F3 m=2 r=5%,F3,2,S2,kmeans,0.050000000000000003,4,all,building,10,377765.91125885351,5601164.7013833458,0.14998204137609747,0.067444171239162978,MF+SF,#54A24B,dashed,square,False
15,c81cf943f00a3372,F3 m=2 r=10%,F3,2,S2,kmeans,0.10000000000000001,4,all,building,10,272286.09441993869,5601164.7013833458,0.19472278254557146,0.048612406336255548,MF+SF,#54A24B,dashed,square,False
15,a6760b0100b1ffc9,F3 m=2 r=20%,F3,2,S2,kmeans,0.20000000000000001,4,all,building,10,178916.13397573732,5601164.7013833458,0.28428266736959457,0.031942666126484297,MF+SF,#54A24B,dashed,square,False
15,0308f3ae65f79480,F3 m=2 r=35%,F3,2,S2,kmeans,0.34999999999999998,4,all,building,10,106320.02378494156,5601164.7013833458,0.4183505838464493,0.018981770658999406,MF+SF,#54A24B,dashed,square,False
15,c9d93e5f19d85b38,F3 m=2 r=50%,F3,2,S2,kmeans,0.5,4,all,building,10,62656.348886593711,5601164.7013833458,0.55260319302705563,0.011186307174848685,MF+SF,#54A24B,dashed,square,False
15,5d7141ec86d67657,F1 m=2 r=1%,F1,2,S2,kmeans,0.01,4,all,building,10,653039.91870840988,5601164.7013833458,0.11578502785329306,0.11659002252640877,SF,#54A24B,solid,circle,False
15,b2fef391172656c1,F1 m=2 r=2%,F1,2,S2,kmeans,0.02,4,all,building,10,506160.77622918301,5601164.7013833458,0.1239432083367995,0.090367058141349446,SF,#54A24B,solid,circle,False
15,96a6ae5dfa507555,F1 m=2 r=5%,F1,2,S2,kmeans,0.050000000000000003,4,all,building,10,354294.35783740151,5601164.7013833458,0.14998204137609747,0.063253693959383087,SF,#54A24B,solid,circle,False
15,7d1bf613519e8cb1,F1 m=2 r=10%,F1,2,S2,kmeans,0.10000000000000001,4,all,building,10,267473.97459557833,5601164.7013833458,0.19472278254557146,0.047753277908346284,SF,#54A24B,solid,circle,False
15,528e26e84cee2430,F1 m=2 r=20%,F1,2,S2,kmeans,0.20000000000000001,4,all,building,10,186550.22851661962,5601164.7013833458,0.28428266736959457,0.03330561382537929,SF,#54A24B,solid,circle,False
15,d8cc553777aeb66e,F1 m=2 r=35%,F1,2,S2,kmeans,0.34999999999999998,4,all,building,10,119410.15793919325,5601164.7013833458,0.4183505838464493,0.021318808552389462,SF,#54A24B,solid,circle,False
15,38266c7b3de97021,F1 m=2 r=50%,F1,2,S2,kmeans,0.5,4,all,building,10,77945.489421764738,5601164.7013833458,0.55260319302705563,0.013915943125634956,SF,#54A24B,solid,circle,False
15,6edbb8097bc77054,F3 m=3 r=1%,F3,3,S2,kmeans,0.01,4,all,building,10,665085.15148538514,5601164.7013833458,0.16779767327368758,0.11874050968740947,MF+SF,#B279A2,dashed,square,False
15,cb391d3977990c10,F3 m=3 r=2%,F3,3,S2,kmeans,0.02,4,all,building,10,517935.20280920767,5601164.7013833458,0.17547596078757602,0.092469197108467599,MF+SF,#B279A2,dashed,square,False
15,41a0c11fb367a663,F3 m=3 r=5%,F3,3,S2,kmeans,0.050000000000000003,4,all,building,10,329852.3751844748,5601164.7013833458,0.1999830977657388,0.058889961779379496,MF+SF,#B279A2,dashed,square,False
15,8dc245111c8c0751,F3 m=3 r=10%,F3,3,S2,kmeans,0.10000000000000001,4,all,building,10,232563.42072930647,5601164.7013833458,0.24209203063112605,0.041520546730552166,MF+SF,#B279A2,dashed,square,False
15,bea9a221692984be,F3 m=3 r=20%,F3,3,S2,kmeans,0.20000000000000001,4,all,building,10,147019.99310835666,5601164.7013833458,0.32638368693608905,0.0262481110530541,MF+SF,#B279A2,dashed,square,False
15,b2822fa3c084ca0c,F3 m=3 r=35%,F3,3,S2,kmeans,0.34999999999999998,4,all,building,10,82773.272189560172,5601164.7013833458,0.45256525538489339,0.014777867926132804,MF+SF,#B279A2,dashed,square,False
15,7a575b5bdbd82d08,F3 m=3 r=50%,F3,3,S2,kmeans,0.5,4,all,building,10,46372.441706537385,5601164.7013833458,0.57892065226075817,0.0082790712608548298,MF+SF,#B279A2,dashed,square,False
15,c1795dfd90543d9f,F1 m=3 r=1%,F1,3,S2,kmeans,0.01,4,all,building,10,564519.91893352778,5601164.7013833458,0.16779767327368758,0.10078616663318357,SF,#B279A2,solid,circle,False
