method,metric,latitude,orientation_bin,center_deg,error_band,band_label,count,bin_total,proportion,bottom,red,green,blue,alpha
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,4,≥20%,150,815,0.18404907975460122,0.70920245398773019,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,5,not lit,87,815,0.10674846625766871,0.89325153374233146,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,0,0–5%,78,265,0.29433962264150942,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,1,5–10%,49,265,0.18490566037735848,0.29433962264150942,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,2,10–15%,19,265,0.071698113207547168,0.47924528301886793,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,3,15–20%,17,265,0.064150943396226415,0.55094339622641508,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,4,≥20%,69,265,0.26037735849056604,0.61509433962264148,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,18,270,5,not lit,33,265,0.12452830188679245,0.87547169811320757,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,0,0–5%,263,609,0.43185550082101809,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,1,5–10%,97,609,0.15927750410509031,0.43185550082101809,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,2,10–15%,36,609,0.059113300492610835,0.59113300492610843,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,3,15–20%,23,609,0.037766830870279149,0.65024630541871931,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,4,≥20%,92,609,0.15106732348111659,0.68801313628899841,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,19,285,5,not lit,98,609,0.16091954022988506,0.83908045977011503,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,0,0–5%,650,1781,0.36496350364963503,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,1,5–10%,240,1781,0.13475575519371139,0.36496350364963503,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,2,10–15%,134,1781,0.075238629983155531,0.49971925884334645,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,3,15–20%,67,1781,0.037619314991577765,0.57495788882650201,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,4,≥20%,205,1781,0.11510387422796182,0.61257720381807979,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,20,300,5,not lit,485,1781,0.27231892195395846,0.72768107804604165,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,0,0–5%,62,190,0.32631578947368423,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,1,5–10%,43,190,0.22631578947368422,0.32631578947368423,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,2,10–15%,18,190,0.094736842105263161,0.55263157894736847,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,3,15–20%,19,190,0.10000000000000001,0.64736842105263159,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,4,≥20%,23,190,0.12105263157894737,0.74736842105263157,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,21,315,5,not lit,25,190,0.13157894736842105,0.86842105263157898,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,0,0–5%,173,442,0.39140271493212669,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,1,5–10%,54,442,0.12217194570135746,0.39140271493212669,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,2,10–15%,30,442,0.067873303167420809,0.51357466063348411,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,3,15–20%,16,442,0.036199095022624438,0.58144796380090491,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,4,≥20%,77,442,0.17420814479638008,0.61764705882352933,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,22,330,5,not lit,92,442,0.20814479638009051,0.79185520361990935,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
