latitude,direction,band,label,count,total,proportion,bottom,color
30,165,2,10–15%,53,907,0.05843439911797133,0.5545755237045203,"rgb(254,255,190)"
30,165,3,15–20%,38,907,0.04189636163175303,0.6130099228224917,"rgb(251,157,89)"
30,165,4,≥20%,113,907,0.12458654906284454,0.6549062844542447,"rgb(189,23,38)"
30,165,5,not lit,200,907,0.2205071664829107,0.7794928335170892,"rgb(140,140,140)"
30,180,0,0–5%,94,276,0.34057971014492755,0,"rgb(12,127,67)"
30,180,1,5–10%,39,276,0.14130434782608695,0.34057971014492755,"rgb(150,210,104)"
30,180,2,10–15%,21,276,0.07608695652173914,0.4818840579710145,"rgb(254,255,190)"
30,180,3,15–20%,14,276,0.050724637681159424,0.5579710144927537,"rgb(251,157,89)"
30,180,4,≥20%,58,276,0.21014492753623187,0.6086956521739131,"rgb(189,23,38)"
30,180,5,not lit,50,276,0.18115942028985507,0.818840579710145,"rgb(140,140,140)"
30,195,0,0–5%,321,610,0.5262295081967213,0,"rgb(12,127,67)"
30,195,1,5–10%,65,610,0.10655737704918032,0.5262295081967213,"rgb(150,210,104)"
30,195,2,10–15%,31,610,0.05081967213114754,0.6327868852459017,"rgb(254,255,190)"
30,195,3,15–20%,17,610,0.027868852459016394,0.6836065573770492,"rgb(251,157,89)"
30,195,4,≥20%,75,610,0.12295081967213115,0.7114754098360656,"rgb(189,23,38)"
30,195,5,not lit,101,610,0.16557377049180327,0.8344262295081968,"rgb(140,140,140)"
30,210,0,0–5%,718,1679,0.42763549731983325,0,"rgb(12,127,67)"
30,210,1,5–10%,319,1679,0.18999404407385348,0.42763549731983325,"rgb(150,210,104)"
30,210,2,10–15%,131,1679,0.07802263251935676,0.6176295413936868,"rgb(254,255,190)"
30,210,3,15–20%,51,1679,0.030375223347230494,0.6956521739130435,"rgb(251,157,89)"
30,210,4,≥20%,180,1679,0.1072066706372841,0.726027397260274,"rgb(189,23,38)"
30,210,5,not lit,280,1679,0.16676593210244192,0.833234067897558,"rgb(140,140,140)"
30,225,0,0–5%,91,197,0.4619289340101523,0,"rgb(12,127,67)"
30,225,1,5–10%,31,197,0.15736040609137056,0.4619289340101523,"rgb(150,210,104)"
30,225,2,10–15%,14,197,0.07106598984771574,0.6192893401015228,"rgb(254,255,190)"
30,225,3,15–20%,12,197,0.06091370558375635,0.6903553299492385,"rgb(251,157,89)"
30,225,4,≥20%,31,197,0.15736040609137056,0.7512690355329948,"rgb(189,23,38)"
30,225,5,not lit,18,197,0.09137055837563451,0.9086294416243654,"rgb(140,140,140)"
30,240,0,0–5%,172,407,0.4226044226044226,0,"rgb(12,127,67)"
30,240,1,5–10%,55,407,0.13513513513513514,0.4226044226044226,"rgb(150,210,104)"
30,240,2,10–15%,26,407,0.06388206388206388,0.5577395577395577,"rgb(254,255,190)"
30,240,3,15–20%,24,407,0.05896805896805897,0.6216216216216216,"rgb(251,157,89)"
30,240,4,≥20%,86,407,0.2113022113022113,0.6805896805896806,"rgb(189,23,38)"
30,240,5,not lit,44,407,0.10810810810810811,0.8918918918918919,"rgb(140,140,140)"
30,255,0,0–5%,388,815,0.47607361963190187,0,"rgb(12,127,67)"
30,255,1,5–10%,109,815,0.13374233128834356,0.47607361963190187,"rgb(150,210,104)"
30,255,2,10–15%,63,815,0.07730061349693251,0.6098159509202454,"rgb(254,255,190)"
