latitude,id,family,m,ratio,cost,error,numerator,denominator,color,selected
30,1409585c91dc73a1,MF+SF,1,0.1,0.14735353446001684,0.07014267582009617,340130.54506216367,4849124.175623691,#F58518,false
30,b24801b3365fed68,MF+SF,1,0.2,0.24218164780310017,0.04855233335827502,235436.29347055196,4849124.175623691,#F58518,false
30,785553f0c30b5763,MF+SF,1,0.35,0.3841359123080051,0.03032484354227371,147048.9319428454,4849124.175623691,#F58518,false
30,188dc42bd4bc80fd,MF+SF,1,0.5,0.5262857337933531,0.018531839114032108,89863.18906662181,4849124.175623691,#F58518,false
30,ecd7558669a1757f,SF,1,0.01,0.06377238243289854,0.17128636312493797,830588.844383795,4849124.175623691,#F58518,false
30,6574c7bb9c60262a,SF,1,0.02,0.07241045588602302,0.1434413980279442,695565.1509625646,4849124.175623691,#F58518,false
30,a1a13488340e570a,SF,1,0.05,0.09998098498645615,0.11279876522289388,546975.2194228355,4849124.175623691,#F58518,false
30,a23e34b2f9a36a6e,SF,1,0.1,0.14735353446001684,0.09447258161198753,458109.2794282709,4849124.175623691,#F58518,false
30,a1c635bdc08218d7,SF,1,0.2,0.24218164780310017,0.0732783878847246,355336.0022425482,4849124.175623691,#F58518,false
30,048c516146700bb1,SF,1,0.35,0.3841359123080051,0.054549238401578534,264516.0306949547,4849124.175623691,#F58518,false
30,4ba04a2546e1f79d,SF,1,0.5,0.5262857337933531,0.0440095847612601,213407.94142498632,4849124.175623691,#F58518,false
30,2ce57ccc3fc59a00,MF+SF,2,0.01,0.11578502785329306,0.1452615581898131,704391.3336069902,4849124.175623691,#54A24B,false
30,a9d08fba3f83d52e,MF+SF,2,0.02,0.1239432083367995,0.11300668692938923,547983.457596439,4849124.175623691,#54A24B,false
30,e4f15065e9975e62,MF+SF,2,0.05,0.14998204137609747,0.07468522156955983,362157.91347476444,4849124.175623691,#54A24B,false
30,c81cf943f00a3372,MF+SF,2,0.1,0.19472278254557146,0.05369905909346794,260393.4056583806,4849124.175623691,#54A24B,false
30,a6760b0100b1ffc9,MF+SF,2,0.2,0.28428266736959457,0.03492723738104578,169366.51117217657,4849124.175623691,#54A24B,false
30,0308f3ae65f79480,MF+SF,2,0.35,0.4183505838464493,0.02058161771928193,99802.82005601493,4849124.175623691,#54A24B,false
30,c9d93e5f19d85b38,MF+SF,2,0.5,0.5526031930270556,0.011968350401503285,58036.01727426508,4849124.175623691,#54A24B,false
30,5d7141ec86d67657,SF,2,0.01,0.11578502785329306,0.12760955678180658,618794.5868312824,4849124.175623691,#54A24B,false
